list, Map1
הַמֹלֵךְ, hamolex
הַמֶלֶךְ, hamelex
אֲשֶׁר, 'ašer
אֶסְתֵר, 'ester
הָמָן, haman
מָרְדֳכָי, mardaxay
מָרְדֳכַי, mardaxay
וַיֹאמֶר, wayo'mer
אֲחַשְׁוֵרוֹֹשׁ, 'aħašwerwoš
אֳחַשְׁוֵרוֹֹשׁ, 'aħašwerwoš
וְאֵת, w'et
וְאַתְ, w'at
הַמַלְכָּה, hamalkah
לִפְנֵי, lifney
כִּי, kiy
הַיְהוּדִים, hayhdiym
עָשָׂר, ʕasar
אֵת, 'et
בְשׁוּשָׁן, vššan
בְּשׁוּשָׁן, bššan
בְּשׁוּשַׁן, bššan
לְאֶסְתֵר, l'ester
טוֹֹב, ṭwov
הַבִּירָה, habiyrah
וְהָמָן, whaman
לוֹֹ, lwo
וּמְדִינָה, mdiynah
בוֹֹ, vwo
בּוֹֹ, bwo
הָאֵלֶה, ha'eleh
מִשְׁתֵה, mišteh
מִשְׁתֶה, mišteh
בַּיוֹֹם, baywom
בְּיוֹֹם, bywom
יוֹֹם, ywom
דִבְרֵי, divrey
אֶל־הַמֶלֶךְ, 'el־hamelex
וַתֹאמֶר, wato'mer
וַתֹאמַר, wato'mar
לְפָנָיו, lfanayw
הַנָשִׁים, hanašiym
אִישׁ, 'iyš
לַמֶלֶךְ, lamelex
לַעֲשׂוֹֹת, laʕaswot
לֹא, lo'
לְמָרְדֳכַי, lmardaxay
לְמָרְדֳכָי, lmardaxay
אֲדָר, 'adar
לְחֹדֶשׁ, lħodeš
וַשְׁתִי, waštiy
מַלְכוּת, malxt
לָבוֹֹא, lavwo'
לַיְהוּדִים, layhdiym
וּמָרְדֳכַי, mardaxay
הַדָבָר, hadavar
אֶת־מָרְדֳכַי, 'et־mardaxay
אֶת־מָרְדֳכָי, 'et־mardaxay
הוּא־חֹדֶשׁ, h'־ħodeš
לָה, lah
לֵךְ, lex
לָךְ, lax
וְעַם, wʕam
וָעָם, waʕam
אֵין, 'eyn
עֲלֵיהֶם, ʕaleyhem
הַיְהוּדִי, hayhdiy
וַיְהִי, wayhiy
מְדִינָה, mdiynah
וַיִכְתֹב, wayixtov
וְיִכָּתֵב, wyikatev
וַיִכָּתֵב, wayikatev
בְּכָל־מְדִינוֹֹת, bxal־mdiynwot
הוּא, h'
כֵּן, ken
בַּחֲצַר, baħacar
בֶּחָצֵר, beħacer
בֶחָצֵר, veħacer
וְיוֹֹם, wywom
וָיוֹֹם, waywom
בִּיקָרוֹֹ, biyqarwo
אָמַר, 'amar
אֱמֹר, 'emor
בֶּן־הַמְדָתָא, ben־hamdata'
הָאֲגָגִי, ha'agagiy
בְּשֵׁם, bšem
בְשֵׁם, všem
הַיָמִים, hayamiym
בִּשְׁלוֹֹשָׁה, bišlwošah
וַיַעַשׂ, wayaʕas
אֶל־הַמִשְׁתֶה, 'el־hamišteh
אִם־עַל־הַמֶלֶךְ, 'im־ʕal־hamelex
אֶל־בֵּית, 'el־beyt
הַמַלְכוּת, hamalxt
עַל־הָעֵץ, ʕal־haʕec
מַלְכוּתוֹֹ, malxtwo
עַל, ʕal
לְהָבִיא, lhaviy'
עָלֶיהָ, ʕaleyha
לְהָמָן, lhaman
וַיִשְׁלַח, wayišlaħ
וְשָׂמֵחָה, wsameħah
וְשִׂמְחָה, wsimħah
חָפֵץ, ħafec
חֵן, ħen
הִיא, hiy'
סְפָרִים, sfariym
וַיֹאמְרוּ, wayo'mr
וְלֹא, wlo'
בְּעֵינֵי, bʕeyney
אִתוֹֹ, 'itwo
אֹתוֹֹ, 'otwo
